year 1,Global avg_temp,global mov_avg,year 2,Anshan avg_temp,local mov_avg 
1829,7.94,8.184,1829,11.8,
1830,8.52,8.274,1830,7.12,
1831,7.64,8.229,1831,6.02,
1832,7.45,8.155,1832,6,
1833,8.01,8.184,1833,6.59,
1834,8.15,8.144,1834,6.94,
1835,7.39,8.044,1835,6.1,
1836,7.7,7.978,1836,6.51,
1837,7.38,7.835,1837,6.22,
1838,7.51,7.769,1838,,
1839,7.63,7.738,1839,5.91,6.378888889
1840,7.8,7.666,1840,6.79,6.342222222
1841,7.69,7.671,1841,5.77,6.314444444
1842,8.02,7.728,1842,6.66,6.387777778
1843,8.17,7.744,1843,6.94,6.426666667
1844,7.65,7.694,1844,6.81,6.412222222
1845,7.85,7.74,1845,6.8,6.49
1846,8.55,7.825,1846,7.26,6.573333333
1847,8.09,7.896,1847,7.11,6.672222222
1848,7.98,7.943,1848,7.03,6.708
1849,7.98,7.978,1849,7.03,6.82
1850,7.9,7.988,1850,5.99,6.74
1851,8.18,8.037,1851,5.62,6.725
1852,8.1,8.045,1852,5.85,6.644
1853,8.04,8.032,1853,6.14,6.564
1854,8.21,8.088,1854,7.06,6.589
1855,8.11,8.114,1855,7.45,6.654
1856,8,8.059,1856,6.84,6.612
1857,7.76,8.026,1857,6.67,6.568
1858,8.1,8.038,1858,7.11,6.576
1859,8.25,8.065,1859,6.93,6.566
1860,7.96,8.071,1860,5.8,6.547
1861,7.85,8.038,1861,6.16,6.601
1862,7.56,7.984,1862,6.29,6.645
1863,8.11,7.991,1863,7.29,6.76
1864,7.98,7.968,1864,6.62,6.716
1865,8.18,7.975,1865,6.6,6.631
1866,8.29,8.004,1866,6.81,6.628
1867,8.44,8.072,1867,7.15,6.676
1868,8.25,8.087,1868,7.06,6.671
1869,8.43,8.105,1869,7.35,6.713
1870,8.2,8.129,1870,6.65,6.798
1871,8.12,8.156,1871,6.81,6.863
1872,8.19,8.219,1872,6.64,6.898
1873,8.35,8.243,1873,6.53,6.822
1874,8.43,8.288,1874,7.2,6.88
1875,7.86,8.256,1875,7.14,6.934
1876,8.08,8.235,1876,7.4,6.993
1877,8.54,8.245,1877,6.98,6.976
1878,8.83,8.303,1878,6.87,6.957
1879,8.17,8.277,1879,6.99,6.921
1880,8.12,8.269,1880,6.82,6.938
1881,8.27,8.284,1881,6.72,6.929
1882,8.13,8.278,1882,7.16,6.981
1883,7.98,8.241,1883,6.78,7.006
1884,7.77,8.175,1884,5.99,6.885
1885,7.92,8.181,1885,6.53,6.824
1886,7.95,8.168,1886,7.04,6.788
1887,7.91,8.105,1887,6.79,6.769
1888,8.09,8.031,1888,6.56,6.738
